,prompt,country,example,metric,gt_answer_avg,type
26,What is the total population for the country Bolivia?  Do not answer in a complete sentence - only provide the number!,Bolivia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,12079914.667,population
27,What is the total population for the country Brazil?  Do not answer in a complete sentence - only provide the number!,Brazil,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,214278675.0,population
28,What is the total population for the country Barbados?  Do not answer in a complete sentence - only provide the number!,Barbados,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,281176.0,population
29,What is the total population for the country Brunei Darussalam?  Do not answer in a complete sentence - only provide the number!,Brunei Darussalam,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,445366.667,population
30,What is the total population for the country Bhutan?  Do not answer in a complete sentence - only provide the number!,Bhutan,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,777482.333,population
31,What is the total population for the country Botswana?  Do not answer in a complete sentence - only provide the number!,Botswana,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,2588373.667,population
32,What is the total population for the country Central African Republic?  Do not answer in a complete sentence - only provide the number!,Central African Republic,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,5459772.667,population
33,What is the total population for the country Canada?  Do not answer in a complete sentence - only provide the number!,Canada,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,38387855.333,population
34,What is the total population for the country Channel Islands?  Do not answer in a complete sentence - only provide the number!,Channel Islands,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,172625.0,population
35,What is the total population for the country Chile?  Do not answer in a complete sentence - only provide the number!,Chile,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,19465744.0,population
36,What is the total population for the country China?  Do not answer in a complete sentence - only provide the number!,China,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,1411878333.333,population
37,What is the total population for the country Cote d'Ivoire?  Do not answer in a complete sentence - only provide the number!,Cote d'Ivoire,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,27483527.0,population
38,What is the total population for the country Cameroon?  Do not answer in a complete sentence - only provide the number!,Cameroon,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,27201417.0,population
39,"What is the total population for the country Congo, Dem. Rep.?  Do not answer in a complete sentence - only provide the number!","Congo, Dem. Rep.","('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,95919164.667,population
40,"What is the total population for the country Congo, Rep.?  Do not answer in a complete sentence - only provide the number!","Congo, Rep.","('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,5836134.667,population
41,What is the total population for the country Colombia?  Do not answer in a complete sentence - only provide the number!,Colombia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,51440416.0,population
42,What is the total population for the country Comoros?  Do not answer in a complete sentence - only provide the number!,Comoros,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,821521.667,population
43,What is the total population for the country Cabo Verde?  Do not answer in a complete sentence - only provide the number!,Cabo Verde,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,587904.667,population
44,What is the total population for the country Costa Rica?  Do not answer in a complete sentence - only provide the number!,Costa Rica,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,5152630.333,population
45,What is the total population for the country Cuba?  Do not answer in a complete sentence - only provide the number!,Cuba,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,11256420.333,population
46,What is the total population for the country Curacao?  Do not answer in a complete sentence - only provide the number!,Curacao,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,152437.333,population
47,What is the total population for the country Cayman Islands?  Do not answer in a complete sentence - only provide the number!,Cayman Islands,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,68051.0,population
48,What is the total population for the country Cyprus?  Do not answer in a complete sentence - only provide the number!,Cyprus,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,1244404.333,population
49,What is the total population for the country Czechia?  Do not answer in a complete sentence - only provide the number!,Czechia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,10576567.667,population
50,What is the total population for the country Germany?  Do not answer in a complete sentence - only provide the number!,Germany,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,83478920.0,population
51,What is the total population for the country Djibouti?  Do not answer in a complete sentence - only provide the number!,Djibouti,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,1105520.667,population
52,What is the total population for the country Dominica?  Do not answer in a complete sentence - only provide the number!,Dominica,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,72381.333,population
53,What is the total population for the country Denmark?  Do not answer in a complete sentence - only provide the number!,Denmark,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,5863724.667,population
54,What is the total population for the country Dominican Republic?  Do not answer in a complete sentence - only provide the number!,Dominican Republic,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,11115452.667,population
55,What is the total population for the country Algeria?  Do not answer in a complete sentence - only provide the number!,Algeria,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,44177620.0,population
56,What is the total population for the country Ecuador?  Do not answer in a complete sentence - only provide the number!,Ecuador,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,17795777.333,population
57,"What is the total population for the country Egypt, Arab Rep.?  Do not answer in a complete sentence - only provide the number!","Egypt, Arab Rep.","('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,109239138.333,population
58,What is the total population for the country Eritrea?  Do not answer in a complete sentence - only provide the number!,Eritrea,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,3620070.667,population
59,What is the total population for the country Spain?  Do not answer in a complete sentence - only provide the number!,Spain,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,47465479.667,population
60,What is the total population for the country Estonia?  Do not answer in a complete sentence - only provide the number!,Estonia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,1335074.0,population
61,What is the total population for the country Ethiopia?  Do not answer in a complete sentence - only provide the number!,Ethiopia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,120284620.333,population
62,What is the total population for the country Finland?  Do not answer in a complete sentence - only provide the number!,Finland,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,5542480.0,population
63,What is the total population for the country Fiji?  Do not answer in a complete sentence - only provide the number!,Fiji,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,924932.667,population
64,What is the total population for the country France?  Do not answer in a complete sentence - only provide the number!,France,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,67752133.0,population
65,What is the total population for the country Faroe Islands?  Do not answer in a complete sentence - only provide the number!,Faroe Islands,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,52798.0,population
66,"What is the total population for the country Micronesia, Fed. Sts.?  Do not answer in a complete sentence - only provide the number!","Micronesia, Fed. Sts.","('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,113133.667,population
67,What is the total population for the country Gabon?  Do not answer in a complete sentence - only provide the number!,Gabon,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,2340914.667,population
68,What is the total population for the country United Kingdom?  Do not answer in a complete sentence - only provide the number!,United Kingdom,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,67026315.0,population
69,What is the total population for the country Georgia?  Do not answer in a complete sentence - only provide the number!,Georgia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,3714609.333,population
70,What is the total population for the country Ghana?  Do not answer in a complete sentence - only provide the number!,Ghana,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,32829767.333,population
71,What is the total population for the country Gibraltar?  Do not answer in a complete sentence - only provide the number!,Gibraltar,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,32675.667,population
72,What is the total population for the country Guinea?  Do not answer in a complete sentence - only provide the number!,Guinea,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,13532133.333,population
73,"What is the total population for the country Gambia, The?  Do not answer in a complete sentence - only provide the number!","Gambia, The","('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,2639967.667,population
74,What is the total population for the country Guinea-Bissau?  Do not answer in a complete sentence - only provide the number!,Guinea-Bissau,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,2060705.0,population
75,What is the total population for the country Equatorial Guinea?  Do not answer in a complete sentence - only provide the number!,Equatorial Guinea,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,1635141.0,population
76,What is the total population for the country Greece?  Do not answer in a complete sentence - only provide the number!,Greece,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,10635450.333,population
77,What is the total population for the country Grenada?  Do not answer in a complete sentence - only provide the number!,Grenada,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,124570.333,population
78,What is the total population for the country Greenland?  Do not answer in a complete sentence - only provide the number!,Greenland,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,56560.333,population
79,What is the total population for the country Guatemala?  Do not answer in a complete sentence - only provide the number!,Guatemala,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,17108655.0,population
80,What is the total population for the country Guam?  Do not answer in a complete sentence - only provide the number!,Guam,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,170513.0,population
81,What is the total population for the country Guyana?  Do not answer in a complete sentence - only provide the number!,Guyana,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,803498.333,population
82,"What is the total population for the country Hong Kong SAR, China?  Do not answer in a complete sentence - only provide the number!","Hong Kong SAR, China","('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,7413400.0,population
83,What is the total population for the country Honduras?  Do not answer in a complete sentence - only provide the number!,Honduras,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,10277656.0,population
84,What is the total population for the country Croatia?  Do not answer in a complete sentence - only provide the number!,Croatia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,3926893.333,population
85,What is the total population for the country Haiti?  Do not answer in a complete sentence - only provide the number!,Haiti,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,11446455.333,population
86,What is the total population for the country Hungary?  Do not answer in a complete sentence - only provide the number!,Hungary,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,9714515.0,population
87,What is the total population for the country Indonesia?  Do not answer in a complete sentence - only provide the number!,Indonesia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,273704166.667,population
88,What is the total population for the country Isle of Man?  Do not answer in a complete sentence - only provide the number!,Isle of Man,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,84276.0,population
89,What is the total population for the country India?  Do not answer in a complete sentence - only provide the number!,India,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,1407041380.667,population
90,What is the total population for the country Ireland?  Do not answer in a complete sentence - only provide the number!,Ireland,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,5035178.333,population
91,"What is the total population for the country Iran, Islamic Rep.?  Do not answer in a complete sentence - only provide the number!","Iran, Islamic Rep.","('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,87921398.333,population
92,What is the total population for the country Iraq?  Do not answer in a complete sentence - only provide the number!,Iraq,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,43528899.333,population
93,What is the total population for the country Iceland?  Do not answer in a complete sentence - only provide the number!,Iceland,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,373627.667,population
94,What is the total population for the country Israel?  Do not answer in a complete sentence - only provide the number!,Israel,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,9376800.0,population
95,What is the total population for the country Italy?  Do not answer in a complete sentence - only provide the number!,Italy,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,59135122.0,population
96,What is the total population for the country Jamaica?  Do not answer in a complete sentence - only provide the number!,Jamaica,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,2825169.333,population
97,What is the total population for the country Jordan?  Do not answer in a complete sentence - only provide the number!,Jordan,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,11120956.0,population
98,What is the total population for the country Japan?  Do not answer in a complete sentence - only provide the number!,Japan,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,125689194.0,population
99,What is the total population for the country Kazakhstan?  Do not answer in a complete sentence - only provide the number!,Kazakhstan,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,19126208.667,population
100,What is the total population for the country Kenya?  Do not answer in a complete sentence - only provide the number!,Kenya,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,53006293.667,population
101,What is the total population for the country Kyrgyz Republic?  Do not answer in a complete sentence - only provide the number!,Kyrgyz Republic,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,6691666.667,population
102,What is the total population for the country Cambodia?  Do not answer in a complete sentence - only provide the number!,Cambodia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,16584575.0,population
103,What is the total population for the country Kiribati?  Do not answer in a complete sentence - only provide the number!,Kiribati,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,128856.333,population
104,What is the total population for the country St. Kitts and Nevis?  Do not answer in a complete sentence - only provide the number!,St. Kitts and Nevis,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,47635.0,population
105,"What is the total population for the country Korea, Rep.?  Do not answer in a complete sentence - only provide the number!","Korea, Rep.","('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,51736410.667,population
106,What is the total population for the country Kuwait?  Do not answer in a complete sentence - only provide the number!,Kuwait,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,4293143.667,population
107,What is the total population for the country Lao PDR?  Do not answer in a complete sentence - only provide the number!,Lao PDR,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,7424643.667,population
108,What is the total population for the country Lebanon?  Do not answer in a complete sentence - only provide the number!,Lebanon,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,5581764.333,population
109,What is the total population for the country Liberia?  Do not answer in a complete sentence - only provide the number!,Liberia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,5194560.333,population
110,What is the total population for the country Libya?  Do not answer in a complete sentence - only provide the number!,Libya,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,6733853.333,population
111,What is the total population for the country St. Lucia?  Do not answer in a complete sentence - only provide the number!,St. Lucia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,179581.667,population
112,What is the total population for the country Liechtenstein?  Do not answer in a complete sentence - only provide the number!,Liechtenstein,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,39040.667,population
113,What is the total population for the country Sri Lanka?  Do not answer in a complete sentence - only provide the number!,Sri Lanka,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,22085333.333,population
114,What is the total population for the country Lesotho?  Do not answer in a complete sentence - only provide the number!,Lesotho,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,2280459.667,population
115,What is the total population for the country Lithuania?  Do not answer in a complete sentence - only provide the number!,Lithuania,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,2809574.667,population
116,What is the total population for the country Luxembourg?  Do not answer in a complete sentence - only provide the number!,Luxembourg,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,640419.0,population
117,What is the total population for the country Latvia?  Do not answer in a complete sentence - only provide the number!,Latvia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,1889439.333,population
118,"What is the total population for the country Macao SAR, China?  Do not answer in a complete sentence - only provide the number!","Macao SAR, China","('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,686019.333,population
119,What is the total population for the country St. Martin (French part)?  Do not answer in a complete sentence - only provide the number!,St. Martin (French part),"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,32097.333,population
120,What is the total population for the country Morocco?  Do not answer in a complete sentence - only provide the number!,Morocco,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,37074442.333,population
121,What is the total population for the country Monaco?  Do not answer in a complete sentence - only provide the number!,Monaco,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,36692.333,population
122,What is the total population for the country Moldova?  Do not answer in a complete sentence - only provide the number!,Moldova,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,2614268.667,population
123,What is the total population for the country Madagascar?  Do not answer in a complete sentence - only provide the number!,Madagascar,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,28917514.667,population
124,What is the total population for the country Maldives?  Do not answer in a complete sentence - only provide the number!,Maldives,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,519894.0,population
125,What is the total population for the country Mexico?  Do not answer in a complete sentence - only provide the number!,Mexico,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,126735855.0,population
126,What is the total population for the country Marshall Islands?  Do not answer in a complete sentence - only provide the number!,Marshall Islands,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,42344.0,population
127,What is the total population for the country North Macedonia?  Do not answer in a complete sentence - only provide the number!,North Macedonia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,2065100.667,population
128,What is the total population for the country Mali?  Do not answer in a complete sentence - only provide the number!,Mali,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,21907537.667,population
129,What is the total population for the country Malta?  Do not answer in a complete sentence - only provide the number!,Malta,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,519095.0,population
130,What is the total population for the country Myanmar?  Do not answer in a complete sentence - only provide the number!,Myanmar,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,53800196.0,population
131,What is the total population for the country Montenegro?  Do not answer in a complete sentence - only provide the number!,Montenegro,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,618892.0,population
132,What is the total population for the country Mongolia?  Do not answer in a complete sentence - only provide the number!,Mongolia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,3346827.667,population
133,What is the total population for the country Northern Mariana Islands?  Do not answer in a complete sentence - only provide the number!,Northern Mariana Islands,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,49539.667,population
134,What is the total population for the country Mozambique?  Do not answer in a complete sentence - only provide the number!,Mozambique,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,32074943.0,population
135,What is the total population for the country Mauritania?  Do not answer in a complete sentence - only provide the number!,Mauritania,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,4616572.333,population
136,What is the total population for the country Mauritius?  Do not answer in a complete sentence - only provide the number!,Mauritius,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,1264957.0,population
137,What is the total population for the country Malawi?  Do not answer in a complete sentence - only provide the number!,Malawi,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,19890706.667,population
138,What is the total population for the country Malaysia?  Do not answer in a complete sentence - only provide the number!,Malaysia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,33570696.0,population
139,What is the total population for the country Namibia?  Do not answer in a complete sentence - only provide the number!,Namibia,"('What is the total population for the country Switzerland?  Do not answer in a complete sentence - only provide the number!', '8,703,771')",total population,2528753.667,population
